ID_NOMINA,ID_FUNCIONARIO,HORAS_ORDINARIAS,HORAS_EXTRAS,VALOR_HORAS_EXTRAS,VALOR_HORAS_ORDINARIAS
1,5001,96,5,5300,3658
1,5002,96,12,5300,3658
1,5003,96,0,5300,3658
1,5004,96,2,5300,3658
1,5005,96,11,5300,3658
1,5006,96,12,5300,3658
1,5007,96,7,5300,3658
1,5008,96,1,5300,3658
1,5009,96,10,5300,3658
1,5010,96,9,5300,3658
1,5011,96,1,5300,3658
1,5012,96,0,5300,3658
1,5013,96,9,5300,3658
1,5014,96,12,5300,3658
1,5015,96,7,5300,3658
1,5016,96,1,5300,3658
1,5017,96,0,5300,3658
1,5018,96,2,5300,3658
1,5019,96,3,5300,3658
1,5020,96,5,5300,3658
1,5021,96,1,5300,3658
1,5022,96,4,5300,3658
1,5023,96,4,5300,3658
1,5024,96,6,5300,3658
1,5025,96,3,5300,3658
1,5026,96,6,5300,3658
1,5027,96,7,5300,3658
1,5028,96,3,5300,3658
1,5029,96,11,5300,3658
1,5030,96,11,5300,3658
1,5031,96,4,5300,3658
1,5032,96,10,5300,3658
1,5033,96,8,5300,3658
1,5034,96,4,5300,3658
1,5035,96,0,5300,3658
1,5036,96,3,5300,3658
1,5037,96,8,5300,3658
1,5038,96,12,5300,3658
1,5039,96,12,5300,3658
1,5040,96,3,5300,3658
1,5041,96,5,5300,3658
1,5042,96,3,5300,3658
1,5043,96,4,5300,3658
1,5044,96,11,5300,3658
1,5045,96,5,5300,3658
1,5046,96,10,5300,3658
1,5047,96,7,5300,3658
1,5048,96,7,5300,3658
1,5049,96,8,5300,3658
1,5050,96,11,5300,3658
1,5051,96,5,5300,3658
1,5052,96,10,5300,3658
1,5053,96,2,5300,3658
1,5054,96,1,5300,3658
1,5055,96,7,5300,3658
1,5056,96,3,5300,3658
1,5057,96,12,5300,3658
1,5058,96,0,5300,3658
1,5059,96,1,5300,3658
1,5060,96,4,5300,3658
1,5061,96,2,5300,3658
1,5062,96,8,5300,3658
1,5063,96,7,5300,3658
1,5064,96,9,5300,3658
1,5065,96,2,5300,3658
1,5066,96,12,5300,3658
1,5067,96,12,5300,3658
1,5068,96,8,5300,3658
1,5069,96,5,5300,3658
1,5070,96,11,5300,3658
1,5071,96,3,5300,3658
1,5072,96,5,5300,3658
1,5073,96,9,5300,3658
1,5074,96,1,5300,3658
1,5075,96,0,5300,3658
1,5076,96,11,5300,3658
1,5077,96,9,5300,3658
1,5078,96,5,5300,3658
1,5079,96,6,5300,3658
1,5080,96,0,5300,3658
1,5081,96,1,5300,3658
1,5082,96,2,5300,3658
1,5083,96,9,5300,3658
1,5084,96,9,5300,3658
1,5085,96,11,5300,3658
1,5086,96,1,5300,3658
1,5087,96,1,5300,3658
1,5088,96,0,5300,3658
1,5089,96,7,5300,3658
1,5090,96,1,5300,3658
1,5091,96,9,5300,3658
1,5092,96,9,5300,3658
1,5093,96,9,5300,3658
1,5094,96,9,5300,3658
1,5095,96,9,5300,3658
1,5096,96,5,5300,3658
1,5097,96,5,5300,3658
1,5098,96,4,5300,3658
1,5099,96,1,5300,3658
1,5100,96,8,5300,3658
1,5101,96,11,5300,3658
1,5102,96,4,5300,3658
1,5103,96,4,5300,3658
1,5104,96,8,5300,3658
1,5105,96,3,5300,3658
1,5106,96,9,5300,3658
1,5107,96,0,5300,3658
1,5108,96,12,5300,3658
1,5109,96,9,5300,3658
1,5110,96,5,5300,3658
1,5111,96,5,5300,3658
1,5112,96,8,5300,3658
1,5113,96,10,5300,3658
1,5114,96,5,5300,3658
1,5115,96,12,5300,3658
1,5116,96,11,5300,3658
1,5117,96,4,5300,3658
1,5118,96,0,5300,3658
1,5119,96,1,5300,3658
1,5120,96,10,5300,3658
1,5121,96,10,5300,3658
